Rôle;Nom de la coiffure;texte
Solo;La Recrue;Coupe brosse militaire très courte (3mm). Simple, hygiénique et sans fioritures pour le combat.
Solo;Le Samouraï Urbain;Un "Top knot" (chignon haut) strict retenu par un anneau en acier brossé. Les côtés sont rasés à blanc.
Solo;L'Asymétrique;Un côté de la tête rasé, l'autre avec des cheveux mi-longs noirs plaqués au gel. Une cicatrice esthétique traverse la zone rasée.
Solo;Le Camo-Style;Cheveux courts teints avec des motifs de camouflage gris et bleu urbain. Un bandana noir est noué sur le front.
Solo;Le Prédateur;Lourdes tresses synthétiques tombant sur les épaules, ornées de perles en métal lourd. Donne une allure massive et menaçante.
Solo;Le Casque Visuel;Cheveux coupés et gélifiés pour former une coque rigide et brillante autour du crâne. Aspect "plastique dur" noir mat.
Solo;Le Chrome-Look;Crâne rasé et recouvert d'une peinture corporelle chromée effet miroir. Brille intensément sous les néons.
Solo;L'Épineux;Cheveux courts sculptés en piques très dures avec de la cire industrielle. Les pointes sont teintes en rouge sang.
Solo;Le Tribal;Crête large tressée au centre, tempes couvertes de tatouages maori à l'encre noire dense. Des anneaux en argent percent les oreilles et l'arcade.
Solo;La Tête de Mort;Visage et crâne rasé peints pour ressembler à un squelette blanc sur fond noir. Terrifiant sans aucune technologie.
Techie;L'Atelier;Queue de cheval basse attachée négligemment avec un fil électrique coloré (non fonctionnel). Mèches grasses sur le front.
Techie;Le Pratique;Coupe au bol courte avec une frange droite pour ne pas gêner la vue. Couleur châtain terne, utilitaire.
Techie;Le Cuivré;Cheveux mi-longs teints en orange métallique rappelant le fil de cuivre. Des petites rondelles et écrous sont tressés dedans.
Techie;Le Patchwork;Cheveux décolorés par zones irrégulières (imitant des taches d'acide). Style "savant fou" ébouriffé.
Techie;Le Circuit;Crâne rasé avec des motifs de circuits imprimés dessinés au henné noir ou tatoués. Très graphique.
Techie;Le Plastique;Cheveux enduits d'un gel vinyle qui leur donne l'aspect de câbles plats et brillants. Couleur jaune danger et noir.
Techie;Le Magnétique;Cheveux hérissés en l'air par l'électricité statique (laque forte). Des trombones et petits ressorts y sont accrochés pour le style.
Techie;Le Tool-Belt;Tresses épaisses relevées sur la tête, piquées de nombreuses épingles à cheveux métalliques ressemblant à des clous.
Techie;Le Phospho;Coupe courte teinte en vert radioactif qui luit dans le noir (phosphorescent). Idéal pour être vu dans les zones sombres.
Techie;L'Isolant;Cheveux entièrement recouverts d'une mousse coiffante durcissante grise, aspect "mousse expansive". Volume énorme et texture rugueuse.
Medtech;Le Clinique;Coupe courte, tirée en arrière, d'un blanc pur artificiel. Évoque l'hygiène absolue et la stérilité.
Medtech;L'Urgence;Cheveux attachés à la va-vite avec des élastiques chirurgicaux bleus. Quelques mèches rebelles tombent sur les yeux.
Medtech;Le Chimiste;Coloration "tie and dye" passant du blanc au vert toxique sur les pointes. Rappelle les réactifs chimiques.
Medtech;La Gélule;Coupe Pixie très courte, bicolore (moitié rouge, moitié blanc). Inspirée des antibiotiques génériques.
Medtech;Le Scalpel;Coupe géométrique aux bords tranchants comme des lames. Teinture gris argenté métallisé.
Medtech;Le Vital;Cheveux longs dont les mèches sont teintes en rouge profond, rappelant des veines ou artères.
Medtech;L'Anatomique;Crâne rasé avec les os du crâne et les sutures peints fidèlement sur la peau. Aspect écorché pédagogique.
Medtech;Le Tube;Dreadlocks enfermées dans des tubes en plastique transparent (tubulures de perfusion vides). Style médical cyberpunk.
Medtech;Le Virus;Cheveux crêpés en forme de sphère hérissée (comme une représentation de virus). Teints en violet et vert fluo.
Medtech;Le Franken-Style;Crâne rasé avec de fausses cicatrices de suture grossières dessinées partout. Donne l'air d'avoir été recousu.
Cop;Le Bleu;Coupe réglementaire très courte, mais teinte en bleu nuit profond. Discret mais affirme l'appartenance.
Cop;Le Badge;Crâne rasé avec le numéro de matricule rasé encore plus court (ou tatoué) sur la tempe. Autoritaire.
Cop;Le Sleek;Cheveux gominés en arrière, aspect mouillé permanent. Sévère et classique.
Cop;Le Casque;Cheveux coupés de manière à former un bourrelet protecteur autour du crâne (style coupe afro dense et compacte).
Cop;L'Alerte;Mèches rouges et bleues alternées sur une base noire. Rappelle les gyrophares de patrouille.
Cop;Le Blindé;Tresses collées au crâne formant des motifs géométriques serrés. Donne un aspect de texture renforcée.
Cop;Le Juge;Perruque poudrée blanche synthétique modernisée. Accessoire rétro pour marquer le pouvoir judiciaire.
Cop;La Grille;Cheveux coiffés en damier rigide avec beaucoup de laque. Aspect "barreaux de prison".
Cop;L'Officier;Casquette de police portée en permanence, cheveux longs dépassant dans le dos, teints en gris acier.
Cop;L'Exécuteur;Cagoule intégrale en latex noir portée comme accessoire de mode, ne laissant voir que les yeux et la bouche. Pas de cheveux visibles.
Netrunner;Le Script;Coupe au bol simple, teinte en vert "écran monochrome". Classique rétro-informatique.
Netrunner;Le Binaire;Coupe asymétrique stricte noire et blanche. Motifs de pixels rasés sur la nuque.
Netrunner;Le Flux;Cheveux longs, très lisses, teints avec un dégradé arc-en-ciel brillant. Évoque la fibre optique.
Netrunner;La Puce;Carré court et plat, carrément géométrique. Une barrette en forme de puce électronique retient la mèche.
Netrunner;Le Grid;Crâne rasé avec un quadrillage parfait tatoué en encre UV invisible (se voit sous lumière noire).
Netrunner;Le Glitch;Cheveux coupés à des longueurs aléatoires et teints de couleurs discordantes (cyan, magenta, jaune). Effet visuel brouillé.
