classe;archetype;story
Solo;Ex-Militaire désabusé;Vous étiez dans les forces spéciales lors de la dernière guerre corpo. Votre unité a été sacrifiée pour des bénéfices boursiers. Vous travaillez désormais à votre compte, ne faisant confiance à personne.
Solo;Garde du corps déchu;Vous protégiez une star de la braindance qui a été assassinée sous vos yeux. Personne ne veut plus vous embaucher officiellement, vous prenez les contrats les plus risqués pour survivre.
Solo;Cobaye corporatiste;Une corpo a testé sur vous des réflexes de combat expérimentaux. Vous vous êtes échappé, mais vous avez des flashbacks violents et des 'glitchs' sensoriels.
Solo;Ronin corporatiste;Vous étiez un assassin d'élite pour Arasaka, mais vous avez refusé un ordre moralement inacceptable (tuer un enfant). Vous êtes maintenant traqué par vos anciens employeurs.
Solo;Sportif de combat underground;Vous étiez une star des arènes illégales de 'pit-fighting', dopé aux améliorations. Une blessurea grave vous a exclu du circuit, vous utilisez vos restes de talents pour le mercenariat.
Solo;Vétéran de la police (MAX-TAC);Vous faisiez spartie de la Psycho Squad, chassant les cyberpsychos. La violence quotidienne vous a brisé, vous avez rendu votre badge mais gardé vos réflexes.
Solo;Gamin des rues devenu légende;Vous n'avez aucune formation militaire, vous avez appris à tuer pour ne pas être tué dans la Zone de Combat. Votre instinct est votre seule école.
Solo;Le 'Nettoyeur';Vous étiez spécialisé dans l'effacement des preuves et des témoins gênants pour la mafia. Vous essayez de vous racheter une conduite, ou du moins, de changer de clientèle.
Solo;Garde du corps d'élite (Actif);Vous êtes actuellement employé par un cadre moyen qui a peur pour sa vie. C'est un boulot ennuyeux, mais la paie est bonne, jusqu'à ce que les vrais ennuis commencent.
Solo;Chasseur de primes;Vous ne tuez pas pour l'argent, vous ramenez les cibles vivantes pour la caution. C'est plus dur, mais vous dormez mieux la nuit.
Solo;L'artiste martial puriste;Vous refusez les armes à feu, préférant le katana ou les poings cybernétiques. Vous cherchez l'adversaire ultime pour prouver la supériorité de votre art.
Solo;Le Dormeur;Vous étiez un agent dormant avec une personnalité programmée. Vous venez de vous 'réveiller' sans savoir qui vous êtes vraiment, mais vous savez manier n'importe quelle arme.
Solo;Sécurité de convoi;Vous avez passé dix ans à protéger des transports de fonds dans les Badlands. Vous connaissez toutes les embuscades et les tactiques des Nomads.
Solo;L'exécuteur froid;Vous n'avez pas d'émotions, peut-être à cause d'un implant défectueux. Le meurtre est juste une transaction mathématique pour vous.
Solo;Le protecteur de quartier;Vous utilisez vos talents mortels pour protéger gratuitement votre bloc d'habitation des gangs, financé par la gratitude (et les dons) de vos voisins.
Netrunner;Le fouineur de données;Vous avez trouvé des fichiers cryptés dans une banque de données oubliée. Maintenant, une IA vous parle dans votre tête et des gens en costume noir vous cherchent.
Netrunner;Ex-Employé de la sécurité réseau;Vous construisiez les murs de glace que vous brisez aujourd'hui. Licencié pour avoir regardé des fichiers RH confidentiels, vous connaissez les failles des systèmes corpo.
Netrunner;Hacktiviste idéaliste;Vous faites partie d'un collectif qui veut libérer l'information. Vous piratez pour exposer la corruption, pas pour l'argent (même si vous devez bien manger).
Netrunner;Le 'Flatlined' survivant;Vous avez failli griller votre cerveau lors d'un run contre une Glace Noire militaire. Vous avez survécu, mais vous voyez le code de la Matrice se superposer à la réalité par moments.
Netrunner;Voleur d'identité;Vous étiez un petit escroc volant des crédits. Un jour, vous avez volé l'identité de la mauvaise personne et vous devez maintenant fuir ou assumer ce rôle dangereux.
Netrunner;Concepteur de virus;Vous créiez des malwares pour le marché noir. L'un de vos virus a muté et causé une catastrophe. Vous essayez de réparer les dégâts incognito.
Netrunner;Le gamin prodige;À 12 ans, vous avez piraté la bourse. À 20 ans, vous sortez de prison juvénile avec un casier vierge (merci à un bienfaiteur mystérieux) et un cyberdeck obsolète.
Netrunner;Netrunner de combat;Contrairement aux autres qui restent dans un fauteuil, vous accompagnez les équipes sur le terrain pour pirater les systèmes de sécurité 'en direct' et ouvrir les portes sous le feu ennemi.
Netrunner;L'archéologue numérique;Vous êtes obsédé par le 'Vieux Net' d'avant le crash. Vous cherchez des serveurs fantômes et des technologies perdues, risquant votre vie face aux IA sauvages.
Netrunner;Employé de bureau (sous couverture);Le jour, vous êtes un technicien support incompétent. La nuit, vous utilisez les serveurs de votre entreprise pour miner des cryptomonnaies et lancer des runs.
Netrunner;Le marionnettiste;Vous préférez pirater les cyberwares des gens plutôt que les banques. Prendre le contrôle des bras ou des yeux de vos ennemis est votre signature cruelle.
Netrunner;Victime de chantage;Un gang détient votre famille ou vos secrets. Ils vous obligent à effectuer des piratages de plus en plus dangereux pour eux.
Netrunner;Le 'Ghost';Vous êtes techniquement mort. Votre conscience a été uploadée partiellement, vous vivez plus dans le Net que dans votre corps physique qui s'atrophie.
Netrunner;Espion industriel freelance;Vous ne volez pas d'argent, vous volez des secrets de fabrication pour les revendre au plus offrant. C'est un jeu d'échecs mortel entre corpos.
Netrunner;Le nettoyeur de casier;Pour le bon prix, vous effacez les dettes, les casiers judiciaires ou les mauvaises notes scolaires. Un business stable jusqu'à ce que vous effaciez le dossier d'un parrain de la pègre par erreur.
Techie;Le Ripperdoc de rue;Vous opérez dans une cave insalubre, installant du cyberware de contrebande sur des gangers et des désespérés qui ne peuvent pas se payer une clinique.
