Rôle;Style;texte
Solo;Le Garde du Corps;Un costume croisé sombre coupe large, renforcé par une fine doublure en mailles balistiques discrètes. Le tissu est impeccable, masquant la musculature et les armes de poing. Cette tenue suggère une protection professionnelle et létale, privilégiant avant tout la sécurité du client.
Solo;Le Mercenaire Standard;Treillis militaire tactique gris urbain et gilet pare-balles apparent aux nombreuses poches. L'ensemble est usé mais entretenu, fait de nylon balistique robuste. L'apparence indique une approche pragmatique du combat, motivée uniquement par l'exécution du contrat.
Solo;Le Street Ronin;Un long manteau en cuir synthétique noir porté sur un pantalon de jogging renforcé pour l'agilité. Des touches de rouge ou de blanc rappellent l'esthétique japonaise traditionnelle modernisée. Ce style évoque l'adhésion à un code d'honneur personnel strict et potentiellement dangereux.
Solo;Le Ganger Blindé;Veste en jean dont les manches sont arrachées, portée sur un blouson de cuir clouté. Les tissus sont couverts de patchs de gangs et de renforts métalliques grossiers. L'ensemble affiche une agressivité brute et une volonté d'intimider physiquement sans préambule.
Solo;L'Opérateur Noir;Combinaison moulante en fibre optique noire mate qui absorbe la lumière pour une furtivité maximale. L'équipement est minimaliste, lisse, sans aucune sangle qui dépasse. Cette silhouette renvoie une image de menace invisible et de compétence mortelle en infiltration.
Solo;Le Sportif de Combat;Short de MMA, protège-tibias en polymère et débardeur technique absorbant la sueur. L'apparence est celle d'un athlète dopé aux stéroïdes prêt pour l'arène. Ce choix vestimentaire met en avant la force physique naturelle et l'entraînement intensif comme principaux atouts.
Solo;Le Cowboy Urbain;Cache-poussière en cuir marron usé, bottes de moto renforcées et ceinturon porte-flingue bas sur les hanches. Le style mélange le western spaghetti et le chrome moderne. L'allure rappelle l'archétype du justicier ou du tueur indépendant opérant en marge des groupes.
Solo;Le Cyborg Lourd;Plaques d'armure corporelle peintes façon armure médiévale ou robotique portées comme vêtements quotidiens. On ne voit presque plus de tissu, seulement du métal et du composite. Cela signifie que l'individu a sacrifié son humanité pour devenir une forteresse mobile impénétrable.
Solo;Le Berserker;Pantalon en cuir rouge sang et torse nu ou harnais de sangles, exposant cicatrices et muscles. Des pointes métalliques sortent des épaules et des genouillères. Cette apparence manifeste une instabilité psychologique et un goût prononcé pour la violence extrême.
Solo;L'Arme Vivante;Vêtements faits de cotte de mailles moderne et de lames de rasoir décoratives cousues dans le tissu. Chaque accolade ou contact physique est coupant pour l'adversaire. Le message avertit que toute proximité physique avec cet individu est intrinsèquement dangereuse.
Techie;Le Dépanneur;Une salopette bleue classique tachée de cambouis avec une ceinture à outils en cuir patiné. Le tissu est épais, ignifugé et couvert de poches fourre-tout. Ce look suggère une compétence accessible et une efficacité sans prétention pour les réparations courantes.
Techie;Le Geek de Rue;T-shirt avec logo de groupe obscur, pantalon cargo trop large et baskets montantes néon. L'ensemble est confortable, fait de coton synthétique bon marché. Cette négligence montre un désintérêt total pour l'apparence sociale au profit de l'obsession technique.
Techie;L'Ingénieur de Terrain;Veste multipoches tactique remplie de composants, portée sur une tenue de travail grise étanche. Les matières sont isolantes contre l'électricité et les produits chimiques. La tenue indique une préparation professionnelle pour intervenir dans des environnements hostiles ou toxiques.
Techie;Le Constructeur;Exosquelette de portage léger intégré par-dessus des vêtements de chantier renforcés jaunes et noirs. L'aspect est industriel, lourd et anguleux. Cela renvoie l'image d'une force de travail industrielle capable de manipuler des charges lourdes et de bâtir des infrastructures.
Techie;Le Recycleur;Manteau long fait d'un assemblage de bâches en plastique, de plaques de circuits imprimés et de câbles tressés. C'est un vêtement unique, texturé, prouvant l'ingéniosité du porteur. Le style démontre une capacité créative à redonner une fonction aux objets considérés comme obsolètes.
Techie;Le Chimiste Fou;Tablier en caoutchouc épais couvert de brûlures d'acide sur une combinaison blanche jaunie. Des gants de protection lourds pendent à la ceinture. L'état des vêtements signale un danger potentiel imminent lié à la manipulation de produits volatils.
Techie;Le Pilote de Drone;Combinaison de vol une pièce avec harnais de connexion et lunettes de réalité augmentée autour du cou. Le tissu est brillant, aérodynamique, style pilote de chasse futuriste. L'apparence suggère que l'attention de l'individu est focalisée sur une interface distante plutôt que sur le présent.
Techie;L'Homme-Outil;Veste où chaque bouton, fermeture éclair ou boucle est un outil miniature fonctionnel démontable. Le vêtement pèse lourd et cliquette à chaque pas. Ce style affiche une autonomie technique totale permettant de faire face à n'importe quelle panne mécanique.
Techie;Le Lumineux;Vêtements couverts de bandes électroluminescentes qui éclairent l'environnement de travail. Le Techie ressemble à une enseigne néon mobile. Cela indique une spécialisation dans les travaux souterrains ou nocturnes nécessitant sa propre source de lumière.
Techie;Le Robotique;Tenue rigide imitant la carrosserie d'un androïde, avec des faux vérins hydrauliques sur les articulations. Fait de plastique moulé gris et argent. L'allure marque une volonté de s'éloigner de l'esthétique humaine pour se rapprocher de la perfection mécanique.
Medtech;L'Urgentiste;Veste paramédicale jaune fluo et rouge avec bandes réfléchissantes haute visibilité. Le tissu est traité pour être imperméable au sang et aux fluides. Cette tenue impose une autorité immédiate basée sur l'urgence médicale et la nécessité d'intervenir vite.
Medtech;Le Clinique;Ensemble blouse et pantalon vert d'eau ou bleu ciel, immaculé et parfaitement repassé. Matière antibactérienne douce qui inspire la confiance stérile. L'apparence inspire une confiance basée sur l'hygiène irréprochable et des honoraires probablement élevés.
Medtech;Le Doc de Rue;Manteau en cuir noir long pour cacher les taches de sang, porté sur des vêtements civils usés. L'aspect est sombre, pratique et un peu inquiétant. Ce style suggère une pratique médicale de l'ombre, discrète et habituée aux blessures illégales.
Medtech;Le Chirurgien Tactique;Armure corporelle blanche marquée d'une croix rouge, avec des pochettes pour kits de soin rapide. Mélange d'esthétique militaire et hospitalière. L'équipement montre une capacité à prodiguer des soins vitaux même en situation de combat intense.
Medtech;Le Bio-Hazard;Combinaison étanche légère semi-transparente portée comme vêtement de mode quotidien. Donne un aspect "sous vide" et protégé des microbes. Ce choix établit une barrière sanitaire visuelle entre le porteur et un monde perçu comme infecté.
Medtech;Le Ripperdoc;Tablier de boucher en vinyle épais rouge foncé ou noir, porté sur un torse nu ou un t-shirt résille. Le style est brutal, charnel et effrayant. L'image renvoyée est celle d'une chirurgie brutale, traitant le corps comme de la matière première à modifier.
Medtech;Le Cryogéniste;Tenue argentée isolante thermique, ressemblant aux couvertures de survie mais taillée en costume. L'aspect est froid, froissé et métallique. La tenue évoque une maîtrise technologique du froid destinée à la conservation ou à la stase biologique.
Medtech;Le Peste Noire;Long manteau noir à capuche et masque moderne rappelant les médecins de la peste avec un bec filtrant. Mélange de cuir et de filtres industriels. Ce costume utilise une iconographie historique effrayante pour symboliser le rôle de dernier rempart face à la mort.
Medtech;L'Organique;Vêtements en bio-textile qui semblent respirer ou saigner légèrement avec une texture chair. C'est dérangeant, mou et tiède au toucher. Ce style crée un malaise visuel en brouillant la limite entre le corps biologique et l'habillement.
Medtech;Le Dieu en Blanc;Costume blanc pur avec une cape rigide, évoquant une divinité religieuse ou sectaire. Tissus luxueux comme la soie synthétique. L'ensemble affiche une arrogance quasi-divine, plaçant le médecin au-dessus du commun des mortels.
Cop;La Patrouille;Uniforme bleu standard en poly-coton, casquette et bottes cirées. C'est le symbole universel de l'ordre public de base. La tenue incarne l'autorité administrative standard et la gestion quotidienne de l'ordre public.
Cop;L'Inspecteur;Imperméable beige classique, chemise blanche froissée et cravate desserrée. Le style est volontairement rétro "Film Noir" pour se donner une aura de mystère. L'allure suggère une personnalité obstinée et usée par les enquêtes difficiles.
Cop;Le SWAT;Tenue d'intervention lourde noire, genouillères, coudières et gilet tactique encombrant. L'aspect est celui d'une tortue blindée agressive. Cet équipement signale une préparation à l'affrontement direct et une capacité de destruction contrôlée.
Cop;Le Corrompu;Costume civil flashy et cher en soie ou couleurs vives, porté avec le holster de service apparent. Montre que le flic a plus d'argent que son salaire ne le permet. Ce luxe déplacé trahit ostensiblement un enrichissement personnel illicite et une moralité flexible.
Cop;Le Juge de Rue;Veste de cuir noir longue avec des épaulettes dorées disproportionnées de style impérial. L'aspect est rigide, intimidant et théâtral. Le costume affiche un pouvoir judiciaire absolu et expéditif, sans appel possible.
Cop;Le Infiltré;Vêtements de clochard ou de ganger ultra-réalistes, mais cachant une radio et un gilet fin. C'est du "sale propre", étudié pour se fondre dans la masse. Le déguisement vise à tromper l'observateur sur la véritable allégeance de l'individu pour faciliter l'espionnage.
Cop;Le Robo-Style;Armure corporelle polie chromée et bleue qui imite la carrosserie d'une voiture de police. Donne une apparence déshumanisée et industrielle. Cette apparence déshumanise la fonction policière pour la rendre plus intimidante et insensible.
Cop;Le Riot;Tenue anti-émeute rembourrée donnant une silhouette de bibendum sombre, avec visière opaque. Matières ignifugées et résistantes aux chocs. L'équipement représente un obstacle physique inamovible conçu pour briser les mouvements de foule.
Cop;Le Shérif;Mélange de tenue tactique moderne et d'accessoires western comme un chapeau et une étoile en métal. Un style anachronique pour les zones de non-droit. L'allure affirme une autorité territoriale personnelle, souvent brutale et archaïque.
