num;texte
1;La famille a tout perdu par trahison
2;La famille a tout perdu par mauvaise gestion
3;La famille a été exilée ou chassée de sa maison/nation/corporation
4;La famille est emprisonnée et vous seul(e) vous êtes échappé(e)
5;La famille a disparu
6;La famille a été assassinée/tuée et vous avez été le seul survivant
7;La famille est impliquée dans une conspiration/organisation à long terme
8;Votre famille a été dispersée à cause d'un malheur
9;Votre famille est maudite par une querelle héréditaire qui dure depuis des générations
10;Vous êtes l'héritier(e) d'une dette familiale. Vous devez honorer cette dette avant de continuer votre vie
